::1 - - [08/Mar/2026:08:17:34 +0000] "GET /api/health HTTP/1.1" 200 50 "-" "Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.26100.7705"
::1 - - [08/Mar/2026:08:21:10 +0000] "GET /api/patients?page=1&pageSize=10&q= HTTP/1.1" 200 399 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:21:17 +0000] "GET /api/doctors?active=true HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:21:17 +0000] "GET /api/visits?date=2026-03-08&q=&type=OPD&page=1&pageSize=50 HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:21:17 +0000] "GET /api/patients?page=1&pageSize=200&q= HTTP/1.1" 200 400 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:21:17 +0000] "GET /api/doctors?active=true HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:21:17 +0000] "GET /api/patients?page=1&pageSize=200&q= HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:21:17 +0000] "GET /api/visits?date=2026-03-08&q=&type=OPD&page=1&pageSize=50 HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:21:26 +0000] "GET /api/doctors?q= HTTP/1.1" 200 11 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:21:26 +0000] "GET /api/doctors?q= HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:22:11 +0000] "POST /api/doctors HTTP/1.1" 201 530 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:22:11 +0000] "GET /api/doctors?q= HTTP/1.1" 200 532 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:22:16 +0000] "GET /api/visits?date=2026-03-08&q=&type=OPD&page=1&pageSize=50 HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
